%time,field.header.seq,field.header.stamp,field.header.frame_id,field.copx,field.copy
1374680211624955076,707663,1374680211624955076,,-0.00484235521549,-0.0120217018907
1374680211624964924,707664,1374680211624964924,,-0.0049246004515,-0.0120048995174
1374680211624973444,707665,1374680211624973444,,-0.00488215212741,-0.0117760111209
1374680211624988111,707666,1374680211624988111,,-0.00488215212741,-0.0117760111209
1374680211624997540,707667,1374680211624997540,,-0.00506771271913,-0.011904227583
1374680211625006759,707668,1374680211625006759,,-0.00506771271913,-0.011904227583
1374680211625014581,707669,1374680211625014581,,-0.00502972602908,-0.011777040003
1374680211625022333,707670,1374680211625022333,,-0.00513370824153,-0.0119221174042
1374680211625030225,707671,1374680211625030225,,-0.00519949129605,-0.0119399496303
1374680211625039095,707672,1374680211625039095,,-0.00519949129605,-0.0119399496303
1374680211625046848,707673,1374680211625046848,,-0.0051079579432,-0.0120925481682
1374680211625054460,707674,1374680211625054460,,-0.00526506290709,-0.0119577245391
1374680211625062282,707675,1374680211625062282,,-0.00533042409246,-0.0119754424064
1374680211626189940,707676,1374680211626189940,,-0.00533042409246,-0.0119754424064
1374680211630180740,707677,1374680211630180740,,-0.00533042409246,-0.0119754424064
1374680211630186886,707678,1374680211630186886,,-0.00539557586345,-0.0119931035065
1374680211630192404,707679,1374680211630192404,,-0.00539557586345,-0.0119931035065
1374680211630197642,707680,1374680211630197642,,-0.00547763278454,-0.0119764798494
1374680211630203020,707681,1374680211630203020,,-0.00546051922488,-0.0120107081118
1374680211630208328,707682,1374680211630208328,,-0.00546051922488,-0.0120107081118
1374680211630496493,707683,1374680211630496493,,-0.00546051922488,-0.0120107081118
1374680211631094683,707684,1374680211631094683,,-0.00546051922488,-0.0120107081118
1374680211632021128,707685,1374680211632021128,,-0.00537015462174,-0.0121624859237
1374680211632357274,707686,1374680211632357274,,-0.00543517926179,-0.0121798304508
1374680211633291052,707687,1374680211633291052,,-0.00558978470632,-0.0120457489184
1374680211634799274,707688,1374680211634799274,,-0.00558978470632,-0.0120457489184
1374680211634805630,707689,1374680211634805630,,-0.00565410880409,-0.0120631856559
1374680211636946195,707690,1374680211636946195,,-0.00571822844792,-0.0120805669708
1374680211636952411,707691,1374680211636952411,,-0.00578214461104,-0.012097893127
1374680211636957998,707692,1374680211636957998,,-0.00592774342665,-0.0120989258977
1374680211637867751,707693,1374680211637867751,,-0.00592774342665,-0.0120989258977
1374680211638494646,707694,1374680211638494646,,-0.00584585826053,-0.0121151643864
1374680211639096608,707695,1374680211639096608,,-0.00590937035734,-0.0121323810098
1374680211639718615,707696,1374680211639718615,,-0.00592774342665,-0.0120989258977
1374680211640339015,707697,1374680211640339015,,-0.00592774342665,-0.0120989258977
1374680211640941745,707698,1374680211640941745,,-0.00577515498236,-0.0122325767314
1374680211641543218,707699,1374680211641543218,,-0.00569320973219,-0.0122486569213
1374680211642485097,707700,1374680211642485097,,-0.00586405508724,-0.0120816004121
1374680211643099980,707701,1374680211643099980,,-0.00571822844792,-0.0120805669708
1374680211643721288,707702,1374680211643721288,,-0.00571822844792,-0.0120805669708
1374680211644369485,707703,1374680211644369485,,-0.00578214461104,-0.012097893127
1374680211645525149,707704,1374680211645525149,,-0.00589810866127,-0.0123441963244
1374680211645879663,707705,1374680211645879663,,-0.0059872115281,-0.0121921636977
1374680211646749885,707706,1374680211646749885,,-0.00556460613541,-0.0122143534856
1374680211647425600,707707,1374680211647425600,,-0.00556460613541,-0.0122143534856
1374680211648060457,707708,1374680211648060457,,-0.00571822844792,-0.0120805669708
1374680211648944857,707709,1374680211648944857,,-0.00571822844792,-0.0120805669708
1374680211649566444,707710,1374680211649566444,,-0.00556460613541,-0.0122143534856
1374680211650175460,707711,1374680211650175460,,-0.00549999610151,-0.0121971195496
1374680211651107283,707712,1374680211651107283,,-0.00568661856746,-0.0123260478583
1374680211651713295,707713,1374680211651713295,,-0.00549999610151,-0.0121971195496
1374680211652329575,707714,1374680211652329575,,-0.00549999610151,-0.0121971195496
1374680211653251270,707715,1374680211653251270,,-0.00549999610151,-0.0121971195496
1374680211653867759,707716,1374680211653867759,,-0.00568661856746,-0.0123260478583
1374680211654483410,707717,1374680211654483410,,-0.0058405972664,-0.0121911184951
1374680211655406223,707718,1374680211655406223,,-0.00565410880409,-0.0120631856559
1374680211656022083,707719,1374680211656022083,,-0.00568661856746,-0.0123260478583
1374680211656958725,707720,1374680211656958725,,-0.00568661856746,-0.0123260478583
1374680211657551747,707721,1374680211657551747,,-0.00543517926179,-0.0121798304508
1374680211658187792,707722,1374680211658187792,,-0.00567176958256,-0.0120292919395
1374680211659099849,707723,1374680211659099849,,-0.00552525517516,-0.0120282564927
1374680211659719271,707724,1374680211659719271,,-0.00552525517516,-0.0120282564927
1374680211660329544,707725,1374680211660329544,,-0.00537015462174,-0.0121624859237
1374680211661250052,707726,1374680211661250052,,-0.00530492118045,-0.0121450857015
1374680211662181386,707727,1374680211662181386,,-0.00539557586345,-0.0119931035065
1374680211663097773,707728,1374680211663097773,,-0.00539557586345,-0.0119931035065
1374680211663103989,707729,1374680211663103989,,-0.00539557586345,-0.0119931035065
1374680211664310846,707730,1374680211664310846,,-0.00546051922488,-0.0120107081118
1374680211666172815,707731,1374680211666172815,,-0.00539557586345,-0.0119931035065
1374680211666178612,707732,1374680211666178612,,-0.00546051922488,-0.0120107081118
1374680211666184269,707733,1374680211666184269,,-0.00539557586345,-0.0119931035065
1374680211667409704,707734,1374680211667409704,,-0.00539557586345,-0.0119931035065
1374680211667416129,707735,1374680211667416129,,-0.00539557586345,-0.0119931035065
1374680211668334053,707736,1374680211668334053,,-0.00539557586345,-0.0119931035065
1374680211668944466,707737,1374680211668944466,,-0.00541250449156,-0.0119587626454
1374680211669548942,707738,1374680211669548942,,-0.00517382385828,-0.012110117095
1374680211670481882,707739,1374680211670481882,,-0.00533042409246,-0.0119754424064
1374680211671096974,707740,1374680211671096974,,-0.00533042409246,-0.0119754424064
1374680211671711019,707741,1374680211671711019,,-0.00541250449156,-0.0119587626454
