%time,field.header.seq,field.header.stamp,field.header.frame_id,field.copx,field.copy
1374680211615361468,708040,1374680211615361468,,0.0286205937014,-0.00254405089011
1374680211615976560,708041,1374680211615976560,,0.0286205937014,-0.00254405089011
1374680211616904122,708042,1374680211616904122,,0.0286432730779,-0.00250785679006
1374680211618158332,708043,1374680211618158332,,0.0285677993307,-0.00247726257784
1374680211618168180,708044,1374680211618168180,,0.0287327223756,-0.00258243467153
1374680211619349894,708045,1374680211619349894,,0.0288675560792,-0.00247635041253
1374680211622139355,708046,1374680211622139355,,0.028928620123,-0.00244754682419
1374680211622148574,708047,1374680211622148574,,0.0285448963154,-0.00251358942009
1374680211622156745,708048,1374680211622156745,,0.0285448963154,-0.00251358942009
1374680211622165406,708049,1374680211622165406,,0.0289061442099,-0.0024840053929
1374680211625070105,708050,1374680211625070105,,0.0289061442099,-0.0024840053929
1374680211625077787,708051,1374680211625077787,,0.0285448963154,-0.00251358942009
1374680211625085540,708052,1374680211625085540,,0.0285448963154,-0.00251358942009
1374680211625093502,708053,1374680211625093502,,0.0285448963154,-0.00251358942009
1374680211626199997,708054,1374680211626199997,,0.0285448963154,-0.00251358942009
1374680211626208099,708055,1374680211626208099,,0.0287928265207,-0.00244545330037
1374680211626801819,708056,1374680211626801819,,0.0287928265207,-0.00244545330037
1374680211627416073,708057,1374680211627416073,,0.0285448963154,-0.00251358942009
1374680211628030746,708058,1374680211628030746,,0.0285677993307,-0.00247726257784
1374680211628992950,708059,1374680211628992950,,0.0287928265207,-0.00244545330037
1374680211629580035,708060,1374680211629580035,,0.0286574634125,-0.00255211641306
1374680211630213845,708061,1374680211630213845,,0.0288451006965,-0.0025126714336
1374680211631100620,708062,1374680211631100620,,0.0288675560792,-0.00247635041253
1374680211632027483,708063,1374680211632027483,,0.0286205937014,-0.00254405089011
1374680211632350988,708064,1374680211632350988,,0.0288451006965,-0.0025126714336
1374680211633262557,708065,1374680211633262557,,0.0289061442099,-0.0024840053929
1374680211634811287,708066,1374680211634811287,,0.0289061442099,-0.0024840053929
1374680211634816804,708067,1374680211634816804,,0.0287928265207,-0.00244545330037
1374680211636963306,708068,1374680211636963306,,0.0287928265207,-0.00244545330037
1374680211636968614,708069,1374680211636968614,,0.0287928265207,-0.00244545330037
1374680211636973852,708070,1374680211636973852,,0.0287928265207,-0.00244545330037
1374680211638482773,708071,1374680211638482773,,0.0288836011601,-0.00252057286518
1374680211638488849,708072,1374680211638488849,,0.0288836011601,-0.00252057286518
1374680211639103103,708073,1374680211639103103,,0.0287701486384,-0.00248190787976
1374680211639724761,708074,1374680211639724761,,0.0288836011601,-0.00252057286518
1374680211640345161,708075,1374680211640345161,,0.0288836011601,-0.00252057286518
1374680211640947961,708076,1374680211640947961,,0.0288311212283,-0.0024529457128
1374680211641877339,708077,1374680211641877339,,0.0288836011601,-0.00252057286518
1374680211642491313,708078,1374680211642491313,,0.0288836011601,-0.00252057286518
1374680211643106056,708079,1374680211643106056,,0.0287701486384,-0.00248190787976
1374680211643727504,708080,1374680211643727504,,0.0287701486384,-0.00248190787976
1374680211644375421,708081,1374680211644375421,,0.0289061442099,-0.0024840053929
1374680211645531225,708082,1374680211645531225,,0.0291564872341,-0.00241543910652
1374680211645885879,708083,1374680211645885879,,0.0289061442099,-0.0024840053929
1374680211646756311,708084,1374680211646756311,,0.0288451006965,-0.0025126714336
1374680211647416381,708085,1374680211647416381,,0.0288451006965,-0.0025126714336
1374680211648069746,708086,1374680211648069746,,0.028958107199,-0.00255119229522
1374680211648951003,708087,1374680211648951003,,0.0289061442099,-0.0024840053929
1374680211649572730,708088,1374680211649572730,,0.0292077585724,-0.00248308661433
1374680211650181956,708089,1374680211650181956,,0.0288451006965,-0.0025126714336
1374680211651126279,708090,1374680211651126279,,0.028958107199,-0.00255119229522
1374680211651719302,708091,1374680211651719302,,0.0291564872341,-0.00241543910652
1374680211652335721,708092,1374680211652335721,,0.0289061442099,-0.0024840053929
1374680211653257416,708093,1374680211653257416,,0.0291564872341,-0.00241543910652
1374680211653873905,708094,1374680211653873905,,0.0291564872341,-0.00241543910652
1374680211654489835,708095,1374680211654489835,,0.0287928265207,-0.00244545330037
1374680211655412509,708096,1374680211655412509,,0.0291564872341,-0.00241543910652
1374680211656028229,708097,1374680211656028229,,0.0290424114203,-0.00237686243793
1374680211656965569,708098,1374680211656965569,,0.0291564872341,-0.00241543910652
1374680211657558103,708099,1374680211657558103,,0.0291564872341,-0.00241543910652
1374680211658194147,708100,1374680211658194147,,0.028958107199,-0.00255119229522
1374680211659106344,708101,1374680211659106344,,0.0288675560792,-0.00247635041253
1374680211659725766,708102,1374680211659725766,,0.0289804287391,-0.00251475935209
1374680211660335690,708103,1374680211660335690,,0.0289804287391,-0.00251475935209
1374680211661256198,708104,1374680211661256198,,0.0289804287391,-0.00251475935209
1374680211662187532,708105,1374680211662187532,,0.0289415547723,-0.00250694534668
1374680211663109576,708106,1374680211663109576,,0.0286955531868,-0.00257421542069
1374680211663115233,708107,1374680211663115233,,0.0286432730779,-0.00250785679006
1374680211664316992,708108,1374680211664316992,,0.0288899450149,-0.00244013686768
1374680211666189577,708109,1374680211666189577,,0.0289415547723,-0.00250694534668
1374680211666194954,708110,1374680211666194954,,0.0286955531868,-0.00257421542069
1374680211666841964,708111,1374680211666841964,,0.0286432730779,-0.00250785679006
1374680211667421926,708112,1374680211667421926,,0.0288899450149,-0.00244013686768
1374680211667427583,708113,1374680211667427583,,0.0288899450149,-0.00244013686768
1374680211668340548,708114,1374680211668340548,,0.0286432730779,-0.00250785679006
1374680211668950472,708115,1374680211668950472,,0.0288899450149,-0.00244013686768
1374680211669555298,708116,1374680211669555298,,0.0286205937014,-0.00254405089011
1374680211670488168,708117,1374680211670488168,,0.0286205937014,-0.00254405089011
1374680211671103539,708118,1374680211671103539,,0.0286205937014,-0.00254405089011
1374680211671717095,708119,1374680211671717095,,0.0285978472384,-0.00258035205382
1374680211677009527,708120,1374680211677009527,,0.0288451006965,-0.0025126714336
1374680211677015813,708121,1374680211677015813,,0.0285978472384,-0.00258035205382
1374680211677597591,708122,1374680211677597591,,0.0285978472384,-0.00258035205382
1374680211678547432,708123,1374680211678547432,,0.0285978472384,-0.00258035205382
1374680211679174747,708124,1374680211679174747,,0.0287701486384,-0.00248190787976
1374680211681312798,708125,1374680211681312798,,0.0285448963154,-0.00251358942009
1374680211681318245,708126,1374680211681318245,,0.0285750333908,-0.00261676075694
1374680211681929356,708127,1374680211681929356,,0.0285978472384,-0.00258035205382
1374680211682518887,708128,1374680211682518887,,0.0285448963154,-0.00251358942009
1374680211683440373,708129,1374680211683440373,,0.0287928265207,-0.00244545330037
1374680211684063566,708130,1374680211684063566,,0.0287701486384,-0.00248190787976
1374680211684702055,708131,1374680211684702055,,0.0285219252181,-0.00255002424834
1374680211685925814,708132,1374680211685925814,,0.0285448963154,-0.00251358942009
1374680211686256443,708133,1374680211686256443,,0.0285978472384,-0.00258035205382
1374680211686827255,708134,1374680211686827255,,0.0285448963154,-0.00251358942009
1374680211687747973,708135,1374680211687747973,,0.0285978472384,-0.00258035205382
1374680211688362227,708136,1374680211688362227,,0.0285448963154,-0.00251358942009
1374680211688998202,708137,1374680211688998202,,0.0285978472384,-0.00258035205382
1374680211689902297,708138,1374680211689902297,,0.0286205937014,-0.00254405089011
1374680211690518088,708139,1374680211690518088,,0.0288451006965,-0.0025126714336
1374680211691440481,708140,1374680211691440481,,0.0288451006965,-0.0025126714336
1374680211692067726,708141,1374680211692067726,,0.0285978472384,-0.00258035205382
1374680211692674437,708142,1374680211692674437,,0.0285978472384,-0.00258035205382
1374680211693596133,708143,1374680211693596133,,0.0285978472384,-0.00258035205382
1374680211694217301,708144,1374680211694217301,,0.0286205937014,-0.00254405089011
1374680211695754228,708145,1374680211695754228,,0.0285448963154,-0.00251358942009
1374680211695759466,708146,1374680211695759466,,0.0287928265207,-0.00244545330037
1374680211696679136,708147,1374680211696679136,,0.0285978472384,-0.00258035205382
1374680211697905898,708148,1374680211697905898,,0.0286205937014,-0.00254405089011
1374680211697911206,708149,1374680211697911206,,0.0285978472384,-0.00258035205382
1374680211699751803,708150,1374680211699751803,,0.0289061442099,-0.0024840053929
1374680211699756971,708151,1374680211699756971,,0.0285978472384,-0.00258035205382
1374680211701603295,708152,1374680211701603295,,0.0288154369668,-0.00240910712433
1374680211701608534,708153,1374680211701608534,,0.0285978472384,-0.00258035205382
1374680211701613981,708154,1374680211701613981,,0.0285448963154,-0.00251358942009
1374680211703759924,708155,1374680211703759924,,0.0285448963154,-0.00251358942009
1374680211703765302,708156,1374680211703765302,,0.0287928265207,-0.00244545330037
1374680211703770610,708157,1374680211703770610,,0.0285448963154,-0.00251358942009
1374680211706529899,708158,1374680211706529899,,0.0285448963154,-0.00251358942009
1374680211706535417,708159,1374680211706535417,,0.0286205937014,-0.00254405089011
1374680211706540795,708160,1374680211706540795,,0.0287928265207,-0.00244545330037
1374680211706545963,708161,1374680211706545963,,0.0289061442099,-0.0024840053929
1374680211706840134,708162,1374680211706840134,,0.0289061442099,-0.0024840053929
1374680211707747233,708163,1374680211707747233,,0.0287928265207,-0.00244545330037
1374680211708360020,708164,1374680211708360020,,0.0285448963154,-0.00251358942009
1374680211708979093,708165,1374680211708979093,,0.0287928265207,-0.00244545330037
1374680211709902116,708166,1374680211709902116,,0.0289061442099,-0.0024840053929
1374680211710517278,708167,1374680211710517278,,0.0289061442099,-0.0024840053929
1374680211711440160,708168,1374680211711440160,,0.0289061442099,-0.0024840053929
1374680211712067614,708169,1374680211712067614,,0.0287928265207,-0.00244545330037
1374680211712671462,708170,1374680211712671462,,0.0287928265207,-0.00244545330037
1374680211713595602,708171,1374680211713595602,,0.0289061442099,-0.0024840053929
1374680211717667767,708172,1374680211717667767,,0.0286574634125,-0.00255211641306
1374680211717673145,708173,1374680211717673145,,0.0289061442099,-0.0024840053929
1374680211717678313,708174,1374680211717678313,,0.0287928265207,-0.00244545330037
1374680211717906485,708175,1374680211717906485,,0.0285448963154,-0.00251358942009
1374680211717912142,708176,1374680211717912142,,0.0287928265207,-0.00244545330037
1374680211717917310,708177,1374680211717917310,,0.0289061442099,-0.0024840053929
1374680211719142047,708178,1374680211719142047,,0.0286574634125,-0.00255211641306
1374680211719147425,708179,1374680211719147425,,0.0285448963154,-0.00251358942009
1374680211720066885,708180,1374680211720066885,,0.0285448963154,-0.00251358942009
1374680211720681139,708181,1374680211720681139,,0.0285448963154,-0.00251358942009
1374680211721556041,708182,1374680211721556041,,0.0286574634125,-0.00255211641306
1374680211722208149,708183,1374680211722208149,,0.0287928265207,-0.00244545330037
1374680211722835463,708184,1374680211722835463,,0.0288538209586,-0.00241635268024
1374680211723434282,708185,1374680211723434282,,0.0287928265207,-0.00244545330037
1374680211724066765,708186,1374680211724066765,,0.0285448963154,-0.00251358942009
1374680211724977495,708187,1374680211724977495,,0.0289061442099,-0.0024840053929
1374680211725594124,708188,1374680211725594124,,0.0284915800574,-0.00244636615744
1374680211726516518,708189,1374680211726516518,,0.0288538209586,-0.00241635268024
1374680211727130143,708190,1374680211727130143,,0.0285448963154,-0.00251358942009
1374680211727752010,708191,1374680211727752010,,0.0285448963154,-0.00251358942009
1374680211728684251,708192,1374680211728684251,,0.0286574634125,-0.00255211641306
1374680211728992042,708193,1374680211728992042,,0.0289061442099,-0.0024840053929
1374680211729914226,708194,1374680211729914226,,0.0287928265207,-0.00244545330037
1374680211730518283,708195,1374680211730518283,,0.0285448963154,-0.00251358942009
1374680211731440468,708196,1374680211731440468,,0.0285448963154,-0.00251358942009
1374680211732068201,708197,1374680211732068201,,0.0285448963154,-0.00251358942009
1374680211732671280,708198,1374680211732671280,,0.0287928265207,-0.00244545330037
1374680211757999569,708199,1374680211757999569,,0.0287928265207,-0.00244545330037
1374680211758004807,708200,1374680211758004807,,0.0289061442099,-0.0024840053929
1374680211758010115,708201,1374680211758010115,,0.0285448963154,-0.00251358942009
1374680211758015423,708202,1374680211758015423,,0.0285448963154,-0.00251358942009
1374680211758021011,708203,1374680211758021011,,0.0289061442099,-0.0024840053929
1374680211758027296,708204,1374680211758027296,,0.0287928265207,-0.00244545330037
1374680211758033093,708205,1374680211758033093,,0.0290424114203,-0.00237686243793
1374680211758498585,708206,1374680211758498585,,0.0287928265207,-0.00244545330037
1374680211758812103,708207,1374680211758812103,,0.0287928265207,-0.00244545330037
