%time,field.header.seq,field.header.stamp,field.header.frame_id,field.sensors_val0.header.seq,field.sensors_val0.header.stamp,field.sensors_val0.header.frame_id,field.sensors_val0.S_Ax,field.sensors_val0.S_Ay,field.sensors_val0.S_Az,field.sensors_val0.S_Mx,field.sensors_val0.S_My,field.sensors_val0.S_Mz,field.sensors_val0.S_Gx,field.sensors_val0.S_Gy,field.sensors_val0.S_Gz,field.sensors_val0.number,field.sensors_val0.total_number,field.sensors_val1.header.seq,field.sensors_val1.header.stamp,field.sensors_val1.header.frame_id,field.sensors_val1.S_Ax,field.sensors_val1.S_Ay,field.sensors_val1.S_Az,field.sensors_val1.S_Mx,field.sensors_val1.S_My,field.sensors_val1.S_Mz,field.sensors_val1.S_Gx,field.sensors_val1.S_Gy,field.sensors_val1.S_Gz,field.sensors_val1.number,field.sensors_val1.total_number,field.sensors_val2.header.seq,field.sensors_val2.header.stamp,field.sensors_val2.header.frame_id,field.sensors_val2.S_Ax,field.sensors_val2.S_Ay,field.sensors_val2.S_Az,field.sensors_val2.S_Mx,field.sensors_val2.S_My,field.sensors_val2.S_Mz,field.sensors_val2.S_Gx,field.sensors_val2.S_Gy,field.sensors_val2.S_Gz,field.sensors_val2.number,field.sensors_val2.total_number,field.sensors_val3.header.seq,field.sensors_val3.header.stamp,field.sensors_val3.header.frame_id,field.sensors_val3.S_Ax,field.sensors_val3.S_Ay,field.sensors_val3.S_Az,field.sensors_val3.S_Mx,field.sensors_val3.S_My,field.sensors_val3.S_Mz,field.sensors_val3.S_Gx,field.sensors_val3.S_Gy,field.sensors_val3.S_Gz,field.sensors_val3.number,field.sensors_val3.total_number,field.sensors_val4.header.seq,field.sensors_val4.header.stamp,field.sensors_val4.header.frame_id,field.sensors_val4.S_Ax,field.sensors_val4.S_Ay,field.sensors_val4.S_Az,field.sensors_val4.S_Mx,field.sensors_val4.S_My,field.sensors_val4.S_Mz,field.sensors_val4.S_Gx,field.sensors_val4.S_Gy,field.sensors_val4.S_Gz,field.sensors_val4.number,field.sensors_val4.total_number,field.sensors_val5.header.seq,field.sensors_val5.header.stamp,field.sensors_val5.header.frame_id,field.sensors_val5.S_Ax,field.sensors_val5.S_Ay,field.sensors_val5.S_Az,field.sensors_val5.S_Mx,field.sensors_val5.S_My,field.sensors_val5.S_Mz,field.sensors_val5.S_Gx,field.sensors_val5.S_Gy,field.sensors_val5.S_Gz,field.sensors_val5.number,field.sensors_val5.total_number,field.sensors_val6.header.seq,field.sensors_val6.header.stamp,field.sensors_val6.header.frame_id,field.sensors_val6.S_Ax,field.sensors_val6.S_Ay,field.sensors_val6.S_Az,field.sensors_val6.S_Mx,field.sensors_val6.S_My,field.sensors_val6.S_Mz,field.sensors_val6.S_Gx,field.sensors_val6.S_Gy,field.sensors_val6.S_Gz,field.sensors_val6.number,field.sensors_val6.total_number,field.sensors_val7.header.seq,field.sensors_val7.header.stamp,field.sensors_val7.header.frame_id,field.sensors_val7.S_Ax,field.sensors_val7.S_Ay,field.sensors_val7.S_Az,field.sensors_val7.S_Mx,field.sensors_val7.S_My,field.sensors_val7.S_Mz,field.sensors_val7.S_Gx,field.sensors_val7.S_Gy,field.sensors_val7.S_Gz,field.sensors_val7.number,field.sensors_val7.total_number,field.sensors_val8.header.seq,field.sensors_val8.header.stamp,field.sensors_val8.header.frame_id,field.sensors_val8.S_Ax,field.sensors_val8.S_Ay,field.sensors_val8.S_Az,field.sensors_val8.S_Mx,field.sensors_val8.S_My,field.sensors_val8.S_Mz,field.sensors_val8.S_Gx,field.sensors_val8.S_Gy,field.sensors_val8.S_Gz,field.sensors_val8.number,field.sensors_val8.total_number
0,4920,0,,0,1374680211505397073,,-22.0,-250.0,-11.0,-154.0,1360.0,852.0,-31.0,-2.0,-19.0,0,9,0,1374680211509236109,,-7.0,-1.0,245.0,118.0,-72.0,491.0,-96.0,-25.0,-22.0,1,9,0,1374680211524953399,,-5.0,17.0,248.0,-136.0,329.0,63.0,-16.0,30.0,-26.0,2,9,0,1374680211529382594,,11.0,-247.0,2.0,-228.0,1407.0,882.0,-11.0,29.0,-23.0,3,9,0,1374680211540962976,,246.0,50.0,6.0,-438.0,73.0,-449.0,-2.0,18.0,-2.0,4,9,0,1374680211552930838,,236.0,-78.0,12.0,-4096.0,-10.0,-4096.0,-12.0,-19.0,-3.0,5,9,0,1374680211560903639,,246.0,-47.0,1.0,-534.0,20.0,-904.0,-2.0,-1.0,-42.0,6,9,0,1374680211584920798,,233.0,49.0,2.0,-4096.0,-181.0,1183.0,23.0,-9.0,-9.0,7,9,0,1374680211621373545,,-260.0,0.0,15.0,4096.0,4096.0,-1359.0,10.0,27.0,-5.0,8,9
0,4921,0,,0,1374680211637362938,,-25.0,-253.0,-7.0,-154.0,1358.0,850.0,-27.0,-4.0,-28.0,0,9,0,1374680211645362768,,-4.0,1.0,247.0,116.0,-75.0,489.0,-90.0,-19.0,-26.0,1,9,0,1374680211657366179,,-8.0,11.0,252.0,-137.0,335.0,65.0,-7.0,16.0,-34.0,2,9,0,1374680211665363983,,13.0,-249.0,0.0,-227.0,1408.0,882.0,-4.0,29.0,-34.0,3,9,0,1374680211677875140,,238.0,58.0,7.0,-441.0,73.0,-445.0,-2.0,20.0,-1.0,4,9,0,1374680211685370297,,236.0,-72.0,10.0,-4096.0,-9.0,-4096.0,-11.0,-15.0,7.0,5,9,0,1374680211693360418,,252.0,-38.0,-1.0,-536.0,18.0,-902.0,-3.0,1.0,-30.0,6,9,0,1374680211705400217,,234.0,49.0,1.0,-4096.0,-185.0,1186.0,19.0,4.0,9.0,7,9,0,1374680211757359474,,-258.0,1.0,18.0,4096.0,4096.0,-1360.0,10.0,29.0,-10.0,8,9
0,4922,0,,0,1374680211773363743,,-27.0,-255.0,-9.0,-152.0,1358.0,851.0,-32.0,-2.0,-30.0,0,9,0,1374680211785361846,,-7.0,-4.0,237.0,114.0,-72.0,490.0,-96.0,-25.0,-17.0,1,9,0,1374680211793358183,,-6.0,18.0,246.0,-138.0,334.0,67.0,-5.0,15.0,-28.0,2,9,0,1374680211801360946,,13.0,-251.0,2.0,-225.0,1407.0,883.0,-11.0,19.0,-32.0,3,9,0,1374680211812905640,,244.0,56.0,3.0,-440.0,77.0,-450.0,6.0,19.0,-7.0,4,9,0,1374680211821361393,,238.0,-73.0,7.0,-4096.0,-8.0,-4096.0,-4.0,-11.0,0.0,5,9,0,1374680211828897477,,249.0,-43.0,2.0,-534.0,19.0,-901.0,-3.0,7.0,-9.0,6,9,0,1374680211841363796,,230.0,57.0,2.0,-4096.0,-183.0,1186.0,17.0,-5.0,6.0,7,9,0,1374680211893365447,,-259.0,2.0,17.0,4096.0,4096.0,-1357.0,4.0,18.0,-8.0,8,9
0,4923,0,,0,1374680211917440504,,-30.0,-252.0,-5.0,-153.0,1356.0,852.0,-34.0,-10.0,-36.0,0,9,0,1374680211921359368,,-4.0,-11.0,238.0,116.0,-72.0,489.0,-91.0,-34.0,-19.0,1,9,0,1374680211929362550,,-9.0,-4.0,248.0,-138.0,329.0,66.0,-1.0,18.0,-38.0,2,9,0,1374680211941360793,,9.0,-251.0,0.0,-225.0,1408.0,884.0,-8.0,34.0,-25.0,3,9,0,1374680211949364953,,240.0,61.0,6.0,-442.0,76.0,-448.0,-1.0,9.0,-9.0,4,9,0,1374680211957391881,,238.0,-72.0,5.0,-4096.0,-7.0,-4096.0,-10.0,-15.0,8.0,5,9,0,1374680211969371546,,247.0,-47.0,-1.0,-532.0,18.0,-899.0,-5.0,13.0,-21.0,6,9,0,1374680211981358055,,233.0,50.0,2.0,-4096.0,-181.0,1182.0,33.0,-7.0,-10.0,7,9,0,1374680212025371261,,-259.0,2.0,16.0,4096.0,4096.0,-1358.0,8.0,30.0,-5.0,8,9
0,4924,0,,0,1374680212041369593,,-22.0,-250.0,-17.0,-154.0,1359.0,851.0,-27.0,-1.0,-18.0,0,9,0,1374680212053359595,,-7.0,-5.0,243.0,116.0,-76.0,489.0,-94.0,-15.0,-29.0,1,9,0,1374680212061378770,,-9.0,11.0,250.0,-133.0,330.0,66.0,-3.0,6.0,-46.0,2,9,0,1374680212073362835,,10.0,-255.0,-3.0,-226.0,1409.0,880.0,-8.0,30.0,-38.0,3,9,0,1374680212081384804,,239.0,52.0,1.0,-440.0,76.0,-447.0,0.0,17.0,-12.0,4,9,0,1374680212093359301,,233.0,-73.0,4.0,-4096.0,-10.0,-4096.0,-17.0,-14.0,5.0,5,9,0,1374680212101357594,,246.0,-46.0,0.0,-534.0,21.0,-901.0,0.0,5.0,-25.0,6,9,0,1374680212113358631,,231.0,49.0,4.0,-4096.0,-181.0,1184.0,20.0,4.0,-7.0,7,9,0,1374680212157367786,,-257.0,1.0,17.0,4096.0,4096.0,-1362.0,13.0,32.0,-7.0,8,9
0,4925,0,,0,1374680212173360321,,-23.0,-250.0,-11.0,-153.0,1359.0,849.0,-32.0,-9.0,-47.0,0,9,0,1374680212185371485,,-1.0,-6.0,243.0,116.0,-69.0,489.0,-92.0,-35.0,-22.0,1,9,0,1374680212197252674,,-4.0,16.0,248.0,-138.0,327.0,68.0,-2.0,6.0,-35.0,2,9,0,1374680212201190814,,15.0,-247.0,3.0,-224.0,1408.0,882.0,-10.0,17.0,-29.0,3,9,0,1374680212213370923,,235.0,61.0,7.0,-442.0,75.0,-449.0,4.0,17.0,-9.0,4,9,0,1374680212221431236,,238.0,-68.0,11.0,-4096.0,-9.0,-4096.0,-6.0,-15.0,3.0,5,9,0,1374680212233377796,,245.0,-47.0,-1.0,-535.0,15.0,-901.0,0.0,2.0,-35.0,6,9,0,1374680212244905169,,230.0,47.0,2.0,-4096.0,-183.0,1181.0,12.0,6.0,0.0,7,9,0,1374680212293362864,,-260.0,1.0,16.0,4096.0,4096.0,-1359.0,6.0,29.0,-10.0,8,9
0,4926,0,,0,1374680212309360148,,-21.0,-255.0,-13.0,-150.0,1357.0,850.0,-30.0,-13.0,-53.0,0,9,0,1374680212321356715,,-3.0,-3.0,236.0,117.0,-73.0,489.0,-95.0,-42.0,-22.0,1,9,0,1374680212328912564,,-9.0,15.0,247.0,-136.0,328.0,67.0,3.0,5.0,-28.0,2,9,0,1374680212337365384,,10.0,-251.0,6.0,-226.0,1408.0,880.0,3.0,28.0,-49.0,3,9,0,1374680212348883677,,240.0,56.0,5.0,-440.0,77.0,-449.0,-1.0,15.0,-15.0,4,9,0,1374680212357367926,,236.0,-72.0,7.0,-4096.0,-10.0,-4096.0,-10.0,-8.0,10.0,5,9,0,1374680212365468816,,243.0,-43.0,2.0,-534.0,20.0,-903.0,-4.0,8.0,-12.0,6,9,0,1374680212377394913,,234.0,55.0,-2.0,-4096.0,-184.0,1185.0,18.0,2.0,5.0,7,9,0,1374680212429368907,,-259.0,1.0,15.0,4096.0,4096.0,-1360.0,10.0,28.0,-7.0,8,9
0,4927,0,,0,1374680212445367448,,-23.0,-255.0,-11.0,-154.0,1361.0,850.0,-32.0,2.0,-22.0,0,9,0,1374680212457236415,,-9.0,-5.0,241.0,118.0,-73.0,488.0,-92.0,-15.0,-25.0,1,9,0,1374680212465358606,,-9.0,14.0,249.0,-139.0,332.0,63.0,-1.0,2.0,-43.0,2,9,0,1374680212477382411,,13.0,-251.0,14.0,-227.0,1409.0,881.0,-13.0,21.0,-18.0,3,9,0,1374680212485357447,,240.0,60.0,1.0,-439.0,74.0,-451.0,7.0,15.0,-2.0,4,9,0,1374680212496870363,,228.0,-69.0,4.0,-4096.0,-8.0,-4096.0,-7.0,-14.0,6.0,5,9,0,1374680212505359780,,249.0,-47.0,0.0,-532.0,18.0,-903.0,0.0,1.0,-18.0,6,9,0,1374680212512884270,,233.0,54.0,1.0,-4096.0,-185.0,1183.0,30.0,-2.0,-11.0,7,9,0,1374680212561370041,,-260.0,1.0,14.0,4096.0,4096.0,-1360.0,7.0,32.0,-5.0,8,9
0,4928,0,,0,1374680212581361828,,-26.0,-257.0,-7.0,-152.0,1356.0,853.0,-29.0,-1.0,-24.0,0,9,0,1374680212589021251,,-4.0,-4.0,238.0,116.0,-74.0,487.0,-89.0,-34.0,-17.0,1,9,0,1374680212597362535,,-5.0,14.0,250.0,-138.0,333.0,66.0,-5.0,22.0,-27.0,2,9,0,1374680212609360009,,16.0,-251.0,8.0,-228.0,1409.0,882.0,-5.0,33.0,-28.0,3,9,0,1374680212617358721,,240.0,59.0,3.0,-441.0,75.0,-450.0,2.0,13.0,-1.0,4,9,0,1374680212625363440,,235.0,-67.0,6.0,-4096.0,-9.0,-4096.0,-3.0,-16.0,-2.0,5,9,0,1374680212637363010,,244.0,-50.0,-1.0,-534.0,20.0,-899.0,-5.0,8.0,-17.0,6,9,0,1374680212649015468,,235.0,49.0,-3.0,-4096.0,-181.0,1185.0,14.0,4.0,3.0,7,9,0,1374680212693439969,,-259.0,0.0,16.0,4096.0,4096.0,-1360.0,7.0,24.0,-7.0,8,9
0,4929,0,,0,1374680212709420632,,-23.0,-255.0,-4.0,-150.0,1358.0,852.0,-34.0,-7.0,-43.0,0,9,0,1374680212717414036,,-4.0,-2.0,239.0,116.0,-72.0,490.0,-87.0,-17.0,-21.0,1,9,0,1374680212729441472,,-9.0,16.0,254.0,-136.0,329.0,66.0,-5.0,6.0,-38.0,2,9,0,1374680212741154832,,10.0,-248.0,3.0,-225.0,1408.0,881.0,-15.0,28.0,-25.0,3,9,0,1374680212749434097,,239.0,54.0,4.0,-440.0,78.0,-448.0,3.0,12.0,-10.0,4,9,0,1374680212761365501,,237.0,-77.0,8.0,-4096.0,-6.0,-4096.0,-7.0,-14.0,9.0,5,9,0,1374680212767706950,,248.0,-45.0,0.0,-533.0,18.0,-901.0,-4.0,12.0,-25.0,6,9,0,1374680212781114450,,234.0,50.0,-1.0,-4096.0,-182.0,1183.0,19.0,-4.0,1.0,7,9,0,1374680212829350888,,-259.0,1.0,17.0,4096.0,4096.0,-1359.0,12.0,33.0,-10.0,8,9
